N,raw_validation_error_percent,relative_error_to_N8
3,0.11783987420025441,0.988307763007153
4,0.11796670114244641,0.9893714441454561
5,0.11821599103097297,0.9914622061540042
6,0.11899924280151647,0.9980312373115032
7,0.11924235385881944,1.000070178262824
8,0.11923398622479658,1.0
